"","imdb_id","original_title","adult","genres.name","original_language","popularity","production_countries.name","release_date","budget","revenue","vote_average","vote_count"
"1:430","tt0436873","La Vie de Michel Muller est plus belle que la vôtre","FALSE","Comedy","fr","1.358","France","2005-01-25","0","0","4.5","4"
"1:431","tt0211372","Le fils du Français","FALSE",NA,"fr","0.6","France","1999-12-15","17","0","0","0"
"1:432","tt2243067","Sam Simmons: Fail","FALSE","Comedy","en","0.6","Australia","2011-03-02","0","0","6","2"
"1:433","tt0049661","Raw Edge","FALSE","Western","en","1.952","United States of America","1956-03-24","0","0","5.7","9"
"1:438","tt0271272","Zlatovláska","FALSE","Adventure","cs","0.983","Czechoslovakia","1973-01-28","0","0","6.7","3"
"1:443","tt0193493","Seyyit Han","FALSE","Drama","tr","1.4","Turkey","1968-04-01","0","0","5.9","10"
"1:446","tt0177516","The American Dreamer","FALSE","Documentary","en","1.512","United States of America","1971-04-01","0","0","5.9","10"
"1:447","tt0198553","I'm Almost Not Crazy: John Cassavetes - The Man and His Work","FALSE","Documentary","en","1.802","United States of America","1984-07-01","0","0","8.8","4"
"1:448","tt1893371","Los Ilusionautas","FALSE","Animation","es","3.041","Peru","2012-01-26","0","0","4.1","14"
"1:449","","Celldweller - Live Upon A Blackstar","FALSE",NA,"en","0.6",NA,"2012-06-12","0","0","0","0"
"1:451","tt0328899","The Creature of the Sunny Side Up Trailer Park","FALSE",NA,"en","1.79","United States of America","2006-03-27","0","0","5.5","2"
"1:461","tt0013404","Moran of the Lady Letty","FALSE","Adventure","en","1.801","United States of America","1922-02-05","0","0","6.5","3"
"1:464","","Dead Fish: 20 anos (Ao Vivo no Circo Voador)","FALSE",NA,"pt","0.6",NA,"","0","0","0","0"
