,imdb_id,original_title,adult,genres.name,original_language,popularity,production_countries.name,release_date,budget,revenue,vote_average,vote_count
0.177083333,tt4943732,<U+041F><U+0443><U+0442><U+0435><U+0448><U+0435><U+0441><U+0442><U+0432><U+0438><U+0435> <U+0424><U+0435><U+0434><U+043E><U+0440><U+0430> <U+043F><U+043E> <U+041C><U+043E><U+0441><U+043A><U+0432><U+0435> <U+043D><U+0430><U+0447><U+0430><U+043B><U+0430> XXI <U+0432><U+0435><U+043A><U+0430>,FALSE,Drama,ru,0.6,Russia,8/06/2015,0,0,0,0
0.177777778,tt4835252,Il professor Cenerentolo,FALSE,Comedy,it,6.24,Italy,7/12/2015,0,0,5.1,231
0.178472222,tt0072383,<U+0412><U+044B><U+043B><U+0435><U+0442> <U+0437><U+0430><U+0434><U+0435><U+0440><U+0436><U+0438><U+0432><U+0430><U+0435><U+0442><U+0441><U+044F>,FALSE,Romance,ru,1.86,Russia,2/11/1974,0,0,6.6,5
0.179166667,,Enrico Brignano: A sproposito di noi,FALSE,Comedy,it,0.652,Italy,5/02/2008,0,0,6.5,2
0.179861111,,Pour suite...,FALSE,NA,en,0.6,NA,1/01/1982,0,0,0,0
0.18125,tt3876080,Errance,FALSE,Drama,fr,0.699,France,19/11/2014,0,0,7,3
0.182638889,tt4159458,Temps faible,FALSE,Comedy,fr,0.6,France,27/10/2014,0,0,0,0
0.184027778,,Thomas & Friends: Salty's Secret & other thomas adventures,FALSE,NA,en,0.6,NA,24/09/2002,0,0,10,1
0.184722222,tt0355745,"Manuel Saldivar, el texano",FALSE,NA,en,0.68,NA,31/08/1972,0,0,5,3
0.186111111,tt2438662,Atalaku,FALSE,Documentary,en,0.6,Congo,1/01/2013,0,0,5,3
0.1875,tt0311506,El medio pelo,FALSE,NA,en,0.93,NA,6/01/1972,0,0,5.7,3
0.189583333,,Thomas & Friends: The Early Years,FALSE,NA,en,0.6,NA,26/10/2004,0,0,10,2
0.190277778,tt0066076,El metiche,FALSE,Family,es,1.192,Mexico,21/09/1972,0,0,3.7,3
0.190972222,,Javaporco,FALSE,NA,en,0.6,NA,1/01/2014,0,0,0,0
0.191666667,tt0314733,Sucedió en Jalisco,FALSE,NA,en,0.87,NA,27/04/1972,0,0,5,1
